approval_number,establishment_name,address,county,country,source
9,Castletownbere Fishermens' Co-Op T/A Castletownbere Fishermens's Co-operative Society Ltd,"Dinish Island, Castletownbere",Cork,Ireland,sfpa
13,Yawl Bay Seafood Ltd,"Foxhole Industrial Estate, Youghal",Cork,Ireland,sfpa
19,Glenmar Shellfish Ltd,"Main Street, Union Hall",Cork,Ireland,sfpa
24,Ilen Seafood's Ltd,Baltimore,Cork,Ireland,sfpa
26,Ballycotton Seafoods Ltd,Garryvoe,Cork,Ireland,sfpa
31,Union Hall Smoked Fish Ltd.,Union Hall,Cork,Ireland,sfpa
42,Shellfish De La Mer T/A Shellfish Ireland,"Dinish Island, Castletownbere",Cork,Ireland,sfpa
45,Woodcock Smokery,"Castletownsend, Skibbereen",Cork,Ireland,sfpa
50,Glenmar Shellfish Ltd,"Curraglass, Conna",Cork,Ireland,sfpa
69,Moonfish,"Moorepark West House, Moorepark, Fermoy",Cork,Ireland,sfpa
72,Roaringwater Bay Rope Mussels T/A Ocean Run Ltd,"Aughadown, Church Cross, Skibbereen",Cork,Ireland,sfpa
78,Seafood Cuisine Ltd,"Fastnet Industrial Estate, Marsh Road, Skibbereen",Cork,Ireland,sfpa
86,Keohane Seafoods ULC,"Unit 28 Kinsale Road Industrial Estate, Kinsale Road",Cork,Ireland,sfpa
89,Kay O'Connells,"Unit 4, Cloch Mac Simon Industrial Estate, Bandon",Cork,Ireland,sfpa
103,Keohane Seafoods ULC,"Gortlassa, Gerahies, Bantry",Cork,Ireland,sfpa
104,Good Fish Processing Ltd T/A Good Fish Processing (Unit 5) Ltd,"Unit 5 Carrigaline Industrail Park, Carrigaline",Cork,Ireland,sfpa
117,Bantry Bay Premium Seafoods T/A Bantry Bay Mussels Ltd,"Gearhies, Bantry",Cork,Ireland,sfpa
120,Travara Shellfish Ltd,"Baltimore Road, Skibbereen",Cork,Ireland,sfpa
