alert_id,date,title,category,country_origin,hazard_type,approval_numbers,product_name,source_url
2022.62,2022-09-28,Recall of a Batch of Jacob Hooy 2.75% CBD Oil due to the Presence of Unsafe Levels of Delta‐9‐tetrahydrocannabinol (THC),For Action,Netherlands,Nature Of Danger:,,"Jacob Hooy 2.75% CBD Oil, 10ml",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-jacob-hooy-2-75-cbd-oil-due-t
2026.26,2026-05-21,Recall of a batch of Leis Sauerampfer (Sorrel) due to the possible presence of glass pieces,For Action,Lithuania,foreign body,,Leis Sauerampfer (Sorrel); pack size: 250g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-jarred-leis-sorrel
2022.75,2022-12-23,Recall of a batch of jelly cups due to a possible choking risk,For Action,China,Recall of a batch of jelly cups due to a possible choking risk,,Jelly cups; pack size: 360g; approval number: 004448,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-jelly-cups-due-to-a-possible
2024.41,2024-09-17,Recall of a batch of Karma Kefruit Citron Figue (Lemon Fig) drink due to the possible presence of glass fragments,For Action,France,foreign body,,Karma Kefruit Citron Figue (Lemon Fig); pack size: 750 ml,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-karma-kefruit-citron-figue
2024.38,2024-08-15,Recall of a batch of Kombucha Na Dálaigh due to an elevated alcohol level,For Action,Ireland,Recall of a batch of Kombucha Na Dálaigh due to an elevated alcohol level,,"Kombucha Na Dálaigh Sláinte Turmeric, Ginger & Honey; pack size: 330ml
Kombucha Na Dálaigh Sú Mara Carrageen Moss & Berry; pack size: 330ml",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-kombucha-na-dalaigh
2025.17,2025-04-04,Recall of a batch of Dairy Farm Vanilla Ice Cream due to chemical smell and taste from the product,For Action,Ireland,Recall of a batch of Dairy Farm Vanilla Ice Cream due to chemical smell and tast,1065,Dairy Farm Vanilla Ice Cream tub; pack size: 1 litre; approval number: IE 1065 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-lidl-s-dairy-farm-vanilla-ice
2026.32,2026-06-12,Recall of specific batches of pork mince products due to the presence of Salmonella,For Action,Ireland,Nature Of Danger:,329,Please see table below.,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-lidl-s-family-pack-pork-mince
2025.21,2025-05-23,Recall of a batch of Loughpark Farms Raw Milk due to possible presence of  Shiga toxin-producing E. coli (STEC),For Action,Ireland,Nature Of Danger:,,Loughpark Farm Raw Milk; pack size: 1 litre,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-loughpark-farms-raw-milk
2022.36,2022-06-09,Recall of a Batch of Lucky Me Instant Pancit Canton Noodles due to the Presence of the Unauthorised Pesticide Ethylene Oxide,,Thailand,pesticide residues,,Lucky Me! Instant Pancit Canton Noodles Hot Chili Flavour; pack size: 60g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-lucky-me-instant-pancit-c-(1)
2022.40,2022-07-06,Recall of a Batch of Lucky Me Instant Pancit Canton Original Noodles due to the Presence of the Unauthorised Pesticide Ethylene Oxide,,Thailand,pesticide residues,,Lucky Me! Instant Pancit Canton Noodles Original Flavour; pack size: 60g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-lucky-me-instant-pancit-canto
2024.45,2024-10-01,Recall of a batch of M & S Smooth Butternut Squash Soup due to the possible presence of small pieces of metal,For Action,United Kingdom,foreign body,,M & S Smooth Butternut Squash Soup; pack size: 600g.,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-m-and-s-smooth-butternut-squa
2025.51,2025-09-30,Recall of a batch of Macroom Buffalo Buffaloumi due to the presence of Listeria monocytogenes,For Action,Ireland,Listeria monocytogenes,,Macroom Buffalo Buffaloumi; pack size: 180g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-macroom-buffalo-buffaloumi
2025.41,2025-08-11,Recall of a batch of Mallons Light 6 Pork Sausages due to the presence of Salmonella,For Action,Ireland,Nature Of Danger:,406,Mallons Light 6 Pork Sausages; pack size: 240g; approval number: IE 406 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-mallons-light-6-pork-sausages
2022.25,2022-04-12,Recall of a Batch of Mars Bounty Ice Cream Bars due to the Presence of the Unauthorised Pesticide Ethylene Oxide,,France,pesticide residues,,Bounty Ice Cream bar; pack size: 51.6g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-mars-bounty-ice-cream-bars
2026.06,2026-02-11,Recall of a batch of Mauri Formaggi Taleggio Bon Ta'leggio D.O.P. cheese due to the possible presence of Listeria monocytogenes,For Action,Italy,Listeria monocytogenes,,Mauri Formaggi Taleggio Bon Ta'leggio D.O.P.; pack size: 200g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-mauri-formaggi-taleggio-bonta
2022.52,2022-08-17,Recall of a Batch of Mispacked Avoca Thai Red Lentil and Vegetable Curry with Incorrect Use By Date on the Label,,Ireland,Recall of a Batch of Mispacked Avoca Thai Red Lentil and Vegetable Curry with In,,Avoca Thai Red Lentil & Vegetable Curry; pack size: 600g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-mispacked-avoca-thai-red-lent
2022.51,2022-08-16,Recall of a Batch of Mispacked Dunnes Stores Oyster Cut Irish Chicken Thighs Due to Incorrect Cooking Instructions,,Ireland,Recall of a Batch of Mispacked Dunnes Stores Oyster Cut Irish Chicken Thighs Due,803,Dunnes Stores Oyster Cut Irish Chicken Thighs; pack size: 990g; approval number: IE 803 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-mispacked-dunnes-stores-oyste
2023.26,2023-10-16,Recall of a batch of MountainGrown.ie Irish CBD Oil due to the presence of unsafe levels of Delta‐9‐tetrahydrocannabinol (THC),For Action,Ireland,Recall of a batch of MountainGrown.ie Irish CBD Oil due to the presence of unsaf,,"MountainGrown.ie Irish CBD Oil; pack size: 10ml, 20ml and 30ml",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-mountaingrown-ie-irish-cbd-oi
2022.66,2022-11-01,Recall of a Batch of Nam Meo Black Fungus Nature’s Best Harvest due to Presence of Salmonella,For Action,Vietnam,Nature Of Danger:,,Nam Meo Black Fungus Nature’s Best Harvest; pack size: 100g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-nam-meo-black-fungus-nature-s
2022.18,2022-03-09,Recall of a Batch of Nongshim Shin Kimchi Instant Noodle Soup due to the Presence of the Unauthorised Pesticide Ethylene Oxide,,Korea (Republic of),pesticide residues,,Nongshim Shin Kimchi instant noodle dish; pack size: 120g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-nongshim-shin-kimchi-instant
2024.34,2024-07-25,Recall of a batch of Nora Salmon Roe due to possible presence of pieces of glass,For Action,Denmark,foreign body,,Nora Salmon Roe; jar size: 100g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-nora-salmon-roe
2025.64,2025-11-20,Recall of a batch of Nutrilean Chocolate Brownie Overnight Oats due to presence of Listeria monocytogenes,For Action,United Kingdom,Listeria monocytogenes,,Nutrilean Chocolate Brownie Overnight Oats; pack size: 180g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-nutrilean-chocolate-brownie-o
2024.48,2024-11-06,Recall of a batch of O'Flynn's Gourmet Sausage Company Traditional Breakfast Sausages due to the presence of Salmonella,For Action,Ireland,Nature Of Danger:,2917,O'Flynn's Gourmet Sausage Company Traditional Breakfast Sausages; pack size: 454g; Approval number: IE 2917 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-o-flynns-gourmet-sausage-comp
2026.18,2026-05-01,"Recall of a batch of Organic Moringa Powder, supplied by Nuts in Bulk, due to the presence of Salmonella",For Action,,Nature Of Danger:,,"Nuts in Bulk Organic Moringa powder; all pack sizes;
and
Organic Moringa powder; pack size: 25kg and 3kg (supplied by Nuts in Bulk)",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-organic-moringa-powder
2026.12,2026-04-09,Recall of a batch of Pettitt's Cook at Home Basil & Pesto Chicken Fillets due to the presence of Salmonella,For Action,Ireland,Nature Of Danger:,,Pettitt's Cook at Home Basil & Pesto Chicken Fillets; pack size: 380g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-pettitt-s-basil-pesto-chicken
2026.02,2026-01-09,Recall of a batch of PUREPOWER Nutrition Chicken Chow Mein due to incorrect labelling,For Action,,Recall of a batch of PUREPOWER Nutrition Chicken Chow Mein due to incorrect labe,,PUREPOWER Nutrition Chicken Chow Mein; pack size: 400g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-purepower-nutrition-chicken-c
2025.36,2025-07-30,Recall of a batch of Aldi ⁠Eat & Go Roast Chicken Basil Pesto Pasta due to the presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,,Eat & Go ⁠Roast Chicken Basil Pesto Pasta With Cheese; pack size: 284g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-roast-chicken-pesto-pasta
